Method,Video,Episode,VMAF,Rebuffer,QoE,Switch,AvgBitrate
BBA,into_tree,39,62.145833333333336,45.61087892649595,-2736.7376900266945,17,0.0
BBA,into_tree,40,78.41666666666667,0.0,3733.3,24,0.0
BBA,into_tree,41,72.10416666666667,2.1318955080172497,3164.8394405994472,19,0.0
BBA,into_tree,42,62.145833333333336,45.61087892649595,-2736.7376900266945,17,0.0
BBA,into_tree,43,65.1875,14.864677084448886,1215.5882998607792,36,0.0
BBA,into_tree,44,81.20833333333333,1.8905856856941043,3626.154906425376,33,0.0
BBA,into_tree,45,61.0625,25.39491857007674,-271.38583754557715,20,0.0
BBA,into_tree,46,73.60416666666667,20.48189129574912,930.7599662905099,28,0.0
BBA,into_tree,47,82.10416666666667,0.4917922069315582,3855.4243325749417,20,0.0
BBA,into_tree,48,66.77083333333333,12.396428714002795,1625.8256964924515,22,0.0
BBA,into_tree,49,64.0625,15.684774213304086,1074.84017817965,25,0.0
Proposed,park_joy,0,57.520833333333336,0.6100374182625462,2677.967330200834,3,0.0
Proposed,park_joy,1,49.854166666666664,0.9802052314728027,2252.270387112194,8,0.0
Proposed,park_joy,2,51.770833333333336,1.3020833333312065,2283.4000000002657,17,0.0
Proposed,park_joy,3,47.458333333333336,7.19687689166002,1336.1297639208294,19,0.0
Proposed,park_joy,4,46.979166666666664,7.3128929542692385,1284.850959307199,25,0.0
Proposed,park_joy,5,58.0,0.43712797618988897,2727.1464285715015,1,0.0
Proposed,park_joy,6,53.208333333333336,3.539193665476349,2096.208630548552,7,0.0
Proposed,park_joy,7,56.5625,0.7626306128784986,2603.7236995127637,7,0.0
Proposed,park_joy,8,47.458333333333336,7.19687689166002,1336.1297639208294,19,0.0
Proposed,park_joy,9,53.208333333333336,2.217279398569381,2256.5835310585417,9,0.0
Proposed,park_joy,10,53.208333333333336,3.539193665476349,2096.208630548552,7,0.0
Proposed,park_joy,11,58.0,0.0,2781.7,1,0.0
Proposed,park_joy,12,58.0,0.25732730105712304,2749.585552828071,1,0.0
Proposed,park_joy,13,54.166666666666664,2.8645683456393733,2217.201870464206,11,0.0
Proposed,park_joy,14,58.0,0.6077743835984812,2705.8497569269093,1,0.0
Proposed,park_joy,15,46.5,5.585957330379465,1472.772525168643,27,0.0
Proposed,park_joy,16,58.0,0.0,2781.7,1,0.0
Proposed,park_joy,17,50.8125,0.316489493034035,2378.8021112693527,9,0.0
Proposed,park_joy,18,52.729166666666664,0.7584278342092858,2411.048206290681,11,0.0
Proposed,park_joy,19,53.208333333333336,1.9655257936385822,2292.602380953905,7,0.0
Proposed,park_joy,20,52.729166666666664,1.7766605121623011,2267.872768082145,18,0.0
Proposed,park_joy,21,46.979166666666664,7.3128929542692385,1284.850959307199,25,0.0
Proposed,park_joy,22,55.604166666666664,0.8159735728554699,2551.0664981076375,7,0.0
Proposed,park_joy,23,47.458333333333336,18.901041665884296,-126.8499999023602,20,0.0
Proposed,park_joy,24,58.0,0.580941258272185,2709.198530967631,1,0.0
Proposed,park_joy,25,57.520833333333336,0.08856957311643167,2745.3465172750693,2,0.0
Proposed,park_joy,26,55.604166666666664,0.8159735728554699,2551.0664981076375,7,0.0
Proposed,park_joy,27,58.0,0.580941258272185,2709.198530967631,1,0.0
Proposed,park_joy,28,57.520833333333336,0.6100374182625462,2677.967330200834,3,0.0
Proposed,park_joy,29,50.333333333333336,4.238107038393835,1838.7842416084495,21,0.0
Proposed,park_joy,30,50.333333333333336,4.238107038393835,1838.7842416084495,21,0.0
Proposed,park_joy,31,56.5625,0.7626306128784986,2603.7236995127637,7,0.0
Proposed,park_joy,32,58.0,0.25732730105712304,2749.585552828071,1,0.0
Proposed,park_joy,33,56.5625,0.6475391355829436,2618.087115879249,7,0.0
Proposed,park_joy,34,55.125,2.2791524825124436,2345.4617701824473,7,0.0
Proposed,park_joy,35,57.520833333333336,0.6100374182625462,2677.967330200834,3,0.0
Proposed,park_joy,36,57.041666666666664,0.6210293009235144,2648.9955432447455,5,0.0
Proposed,park_joy,37,54.166666666666664,2.8645683456393733,2217.201870464206,11,0.0
Proposed,park_joy,38,57.520833333333336,0.30291128504173515,2716.2966716267915,3,0.0
Proposed,park_joy,39,49.375,12.074165522819765,833.2441427520934,13,0.0
Proposed,park_joy,40,56.083333333333336,0.3397664210261791,2633.4971506559327,7,0.0
Proposed,park_joy,41,55.125,1.2078018607170913,2469.9663277825066,11,0.0
Proposed,park_joy,42,49.375,12.074165522819765,833.2441427520934,13,0.0
Proposed,park_joy,43,53.208333333333336,2.217279398569381,2256.5835310585417,9,0.0
Proposed,park_joy,44,57.520833333333336,0.7173699195606515,2664.5722340388306,3,0.0
Proposed,park_joy,45,49.854166666666664,4.787942762524974,1751.7647432368833,19,0.0
Proposed,park_joy,46,54.166666666666664,2.8645683456393733,2217.201870464206,11,0.0
Proposed,park_joy,47,58.0,0.3798544636787983,2734.2941629328857,1,0.0
Proposed,park_joy,48,53.208333333333336,3.539193665476349,2096.208630548552,7,0.0
Proposed,park_joy,49,53.208333333333336,0.8984126928278198,2407.378095935088,15,0.0
Pensieve,park_joy,0,35.0,0.0,1680.0,0,0.0
Pensieve,park_joy,1,35.0,0.07958209258912101,1670.0681548448777,0,0.0
Pensieve,park_joy,2,35.0,0.20833333333248258,1654.0000000001062,0,0.0
Pensieve,park_joy,3,35.0,0.664608882776131,1597.0568114295388,0,0.0
Pensieve,park_joy,4,35.0,0.9664802023686204,1559.3832707443962,0,0.0
Pensieve,park_joy,5,35.0,0.0,1680.0,0,0.0
Pensieve,park_joy,6,35.0,0.07169380032448955,1671.0526137195036,0,0.0
Pensieve,park_joy,7,35.0,0.0,1680.0,0,0.0
Pensieve,park_joy,8,35.0,0.664608882776131,1597.0568114295388,0,0.0
Pensieve,park_joy,9,35.0,0.0342274775108075,1675.7284108066513,0,0.0
Pensieve,park_joy,10,35.0,0.07169380032448955,1671.0526137195036,0,0.0
Pensieve,park_joy,11,35.0,0.0,1680.0,0,0.0
Pensieve,park_joy,12,35.0,0.0,1680.0,0,0.0
Pensieve,park_joy,13,35.0,0.06626251712296151,1671.7304378630545,0,0.0
Pensieve,park_joy,14,35.0,0.0,1680.0,0,0.0
Pensieve,park_joy,15,35.0,1.0244078511270143,1552.1539001793485,0,0.0
Pensieve,park_joy,16,35.0,0.0,1680.0,0,0.0
Pensieve,park_joy,17,35.0,0.0,1680.0,0,0.0
Pensieve,park_joy,18,35.0,0.0,1680.0,0,0.0
Pensieve,park_joy,19,35.0,0.35590277777654783,1635.5833333334867,0,0.0
Pensieve,park_joy,20,35.0,0.38593232821068646,1631.8356454393063,0,0.0
Pensieve,park_joy,21,35.0,0.9664802023686204,1559.3832707443962,0,0.0
Pensieve,park_joy,22,35.0,0.013889429142187904,1678.266599243055,0,0.0
Pensieve,park_joy,23,35.0,12.822916665949515,79.70000008950024,0,0.0
Pensieve,park_joy,24,35.0,0.0,1680.0,0,0.0
Pensieve,park_joy,25,35.0,0.0,1680.0,0,0.0
Pensieve,park_joy,26,35.0,0.013889429142187904,1678.266599243055,0,0.0
Pensieve,park_joy,27,35.0,0.0,1680.0,0,0.0
Pensieve,park_joy,28,35.0,0.0,1680.0,0,0.0
Pensieve,park_joy,29,35.0,0.7072482543425546,1591.7354178580492,0,0.0
Pensieve,park_joy,30,35.0,0.7072482543425546,1591.7354178580492,0,0.0
Pensieve,park_joy,31,35.0,0.0,1680.0,0,0.0
Pensieve,park_joy,32,35.0,0.0,1680.0,0,0.0
Pensieve,park_joy,33,35.0,0.0,1680.0,0,0.0
Pensieve,park_joy,34,35.0,0.022393306165613296,1677.2053153905315,0,0.0
Pensieve,park_joy,35,35.0,0.0,1680.0,0,0.0
Pensieve,park_joy,36,35.0,0.0,1680.0,0,0.0
Pensieve,park_joy,37,35.0,0.06626251712296151,1671.7304378630545,0,0.0
Pensieve,park_joy,38,35.0,0.0,1680.0,0,0.0
Pensieve,park_joy,39,35.0,2.246787334279223,1399.600940681953,0,0.0
Pensieve,park_joy,40,35.0,0.0,1680.0,0,0.0
Pensieve,park_joy,41,35.0,0.1706207442868365,1658.7065311130027,0,0.0
Pensieve,park_joy,42,35.0,2.246787334279223,1399.600940681953,0,0.0
Pensieve,park_joy,43,35.0,0.0342274775108075,1675.7284108066513,0,0.0
Pensieve,park_joy,44,35.0,0.0,1680.0,0,0.0
Pensieve,park_joy,45,35.0,0.29104349634250964,1643.6777716564548,0,0.0
Pensieve,park_joy,46,35.0,0.06626251712296151,1671.7304378630545,0,0.0
Pensieve,park_joy,47,35.0,0.0,1680.0,0,0.0
Pensieve,park_joy,48,35.0,0.07169380032448955,1671.0526137195036,0,0.0
Pensieve,park_joy,49,35.0,0.046865077131127864,1674.1512383740353,0,0.0
RobustMPC,park_joy,0,85.72916666666667,2.2725208475436154,3820.189398226557,11,0.0
RobustMPC,park_joy,1,56.979166666666664,7.621571890257241,1759.8278280958964,13,0.0
RobustMPC,park_joy,2,57.791666666666664,0.20833333333248258,2720.900000000106,13,0.0
RobustMPC,park_joy,3,49.708333333333336,5.004218048857173,1728.373587502625,15,0.0
RobustMPC,park_joy,4,52.041666666666664,7.838146171673784,1490.8993577751116,14,0.0
RobustMPC,park_joy,5,79.10416666666667,0.0,3783.1,12,0.0
RobustMPC,park_joy,6,64.79166666666667,13.617445126824764,1376.4428481722696,19,0.0
RobustMPC,park_joy,7,82.75,9.542745599347898,2759.3653492013827,19,0.0
RobustMPC,park_joy,8,50.041666666666664,8.348739531093148,1323.7773065195752,16,0.0
RobustMPC,park_joy,9,63.5625,5.115159518797513,2389.9280920540705,12,0.0
RobustMPC,park_joy,10,64.125,9.704246116973403,1836.0100846017192,18,0.0
RobustMPC,park_joy,11,88.10416666666667,11.434322811376052,2784.796513140269,15,0.0
RobustMPC,park_joy,12,80.83333333333333,4.57294841396386,3292.99603793731,14,0.0
RobustMPC,park_joy,13,72.33333333333333,23.110085562802904,561.2613217621978,15,0.0
RobustMPC,park_joy,14,84.02083333333333,4.2801333821378496,3481.939353909196,17,0.0
RobustMPC,park_joy,15,50.333333333333336,3.3329989102865714,1970.1417359962356,13,0.0
RobustMPC,park_joy,16,91.91666666666667,0.6522901010385624,4314.194195390388,21,0.0
RobustMPC,park_joy,17,64.875,25.38843705689296,-93.5769447002418,24,0.0
RobustMPC,park_joy,18,65.85416666666667,11.877896099368856,1653.5385667987669,14,0.0
RobustMPC,park_joy,19,58.520833333333336,1.6920882935228778,2592.327380968345,3,0.0
RobustMPC,park_joy,20,62.083333333333336,7.9040142248163345,1969.2790247429216,13,0.0
RobustMPC,park_joy,21,52.041666666666664,7.838146171673784,1490.8993577751116,14,0.0
RobustMPC,park_joy,22,76.66666666666667,19.221131856039246,1262.1027443663024,16,0.0
RobustMPC,park_joy,23,52.708333333333336,51.08738425784976,-3894.9055553796507,22,0.0
RobustMPC,park_joy,24,77.70833333333333,2.5486885656350124,3393.62366700875,13,0.0
RobustMPC,park_joy,25,80.39583333333333,8.995939184875333,2718.9067897275586,13,0.0
RobustMPC,park_joy,26,75.45833333333333,20.128150292984884,1089.5068434354862,15,0.0
RobustMPC,park_joy,27,79.72916666666667,1.6847939130163632,3599.837719655558,15,0.0
RobustMPC,park_joy,28,85.9375,3.956367372451467,3618.045351918057,12,0.0
RobustMPC,park_joy,29,56.166666666666664,11.256674630649082,1248.4670060949948,20,0.0
RobustMPC,park_joy,30,55.354166666666664,8.151228509062141,1600.2266820690447,18,0.0
RobustMPC,park_joy,31,82.60416666666667,7.959846187381005,2953.111195814851,18,0.0
RobustMPC,park_joy,32,80.29166666666667,7.170065611477285,2939.475811687635,16,0.0
RobustMPC,park_joy,33,74.8125,9.441695573806356,2390.1763923889666,15,0.0
RobustMPC,park_joy,34,68.41666666666667,9.639212594202151,2055.726268243571,15,0.0
RobustMPC,park_joy,35,85.27083333333333,0.5758993492268504,4011.327761216489,10,0.0
RobustMPC,park_joy,36,86.58333333333333,3.851648950141262,3662.5142110223705,13,0.0
RobustMPC,park_joy,37,73.02083333333333,26.138765828390547,214.28202461685933,17,0.0
RobustMPC,park_joy,38,81.8125,6.810481207056915,3056.351945359297,17,0.0
RobustMPC,park_joy,39,53.708333333333336,6.827323799839534,1709.2499897800262,9,0.0
RobustMPC,park_joy,40,79.02083333333333,0.999099336663776,3654.6124027843607,13,0.0
RobustMPC,park_joy,41,72.16666666666667,3.0131717820597226,3068.8561615989465,10,0.0
RobustMPC,park_joy,42,54.1875,10.371233093068213,1285.370109985087,11,0.0
RobustMPC,park_joy,43,63.5625,5.115159518797513,2389.9280920540705,12,0.0
RobustMPC,park_joy,44,82.22916666666667,3.723692592593422,3469.183164444341,13,0.0
RobustMPC,park_joy,45,55.0625,10.26116796293426,1327.506238225804,15,0.0
RobustMPC,park_joy,46,71.66666666666667,19.45948833110372,988.0558562782554,14,0.0
RobustMPC,park_joy,47,83.33333333333333,2.3252591217763503,3695.6076616023115,11,0.0
RobustMPC,park_joy,48,65.27083333333333,14.506235827311501,1288.5217687515246,20,0.0
RobustMPC,park_joy,49,60.395833333333336,2.2765610597605472,2592.5851797418836,12,0.0
Genie,park_joy,0,85.52083333333333,0.0,4087.6,20,0.0
Genie,park_joy,1,49.333333333333336,0.07958209258912101,2312.468154844878,19,0.0
Genie,park_joy,2,58.270833333333336,0.3188450726217195,2720.3081349368094,20,0.0
Genie,park_joy,3,44.770833333333336,0.664608882776131,2027.456811429539,17,0.0
Genie,park_joy,4,40.979166666666664,0.9664802023686204,1833.9832707443961,5,0.0
Genie,park_joy,5,79.22916666666667,0.0,3780.1,20,0.0
Genie,park_joy,6,62.729166666666664,0.12123044408596055,2933.1704405780724,29,0.0
Genie,park_joy,7,83.10416666666667,0.0,3960.0,21,0.0
Genie,park_joy,8,44.770833333333336,0.664608882776131,2027.456811429539,17,0.0
Genie,park_joy,9,42.416666666666664,0.0342274775108075,2012.9284108066513,9,0.0
Genie,park_joy,10,62.729166666666664,0.12123044408596055,2933.1704405780724,29,0.0
Genie,park_joy,11,89.29166666666667,0.2571023108644489,4230.513631604117,22,0.0
Genie,park_joy,12,80.54166666666667,0.0,3835.6,23,0.0
Genie,park_joy,13,71.375,0.4614328259856356,3319.713183316993,27,0.0
Genie,park_joy,14,83.1875,0.0,3968.3,23,0.0
Genie,park_joy,15,43.145833333333336,1.0244078511270143,1915.5539001793486,12,0.0
Genie,park_joy,16,93.64583333333333,0.01970866114116912,4473.1403590895825,25,0.0
Genie,park_joy,17,58.0625,0.0,2727.0,28,0.0
Genie,park_joy,18,62.979166666666664,0.0,2966.5,26,0.0
Genie,park_joy,19,57.895833333333336,0.35590277777654783,2719.6833333334866,8,0.0
Genie,park_joy,20,57.333333333333336,0.46762939292768213,2636.4398517626255,25,0.0
Genie,park_joy,21,40.979166666666664,0.9664802023686204,1833.9832707443961,5,0.0
Genie,park_joy,22,73.35416666666667,0.12420981875318216,3433.098614619603,34,0.0
Genie,park_joy,23,48.979166666666664,17.72106481395873,89.81111121795075,23,0.0
Genie,park_joy,24,80.45833333333333,0.0,3833.2,21,0.0
Genie,park_joy,25,78.83333333333333,0.4462369906173835,3698.7096235709505,23,0.0
Genie,park_joy,26,73.35416666666667,0.12420981875318216,3433.098614619603,34,0.0
Genie,park_joy,27,80.45833333333333,0.0,3833.2,21,0.0
Genie,park_joy,28,85.52083333333333,0.0,4087.6,20,0.0
Genie,park_joy,29,41.958333333333336,0.7294544877977306,1896.1640799228433,10,0.0
Genie,park_joy,30,41.958333333333336,0.7294544877977306,1896.1640799228433,10,0.0
Genie,park_joy,31,83.10416666666667,0.0,3960.0,21,0.0
Genie,park_joy,32,80.54166666666667,0.0,3835.6,23,0.0
Genie,park_joy,33,74.75,0.0,3540.5,27,0.0
Genie,park_joy,34,43.958333333333336,0.022393306165613296,2087.805315390531,10,0.0
Genie,park_joy,35,85.52083333333333,0.0,4087.6,20,0.0
Genie,park_joy,36,86.0625,0.0,4118.0,14,0.0
Genie,park_joy,37,71.375,0.4614328259856356,3319.713183316993,27,0.0
Genie,park_joy,38,80.89583333333333,0.0,3847.7,27,0.0
Genie,park_joy,39,52.354166666666664,2.3872453785683803,2155.071776754666,22,0.0
Genie,park_joy,40,78.95833333333333,0.0,3760.4,27,0.0
Genie,park_joy,41,70.85416666666667,0.21662344820632728,3310.2653936638503,34,0.0
Genie,park_joy,42,52.354166666666664,2.3872453785683803,2155.071776754666,22,0.0
Genie,park_joy,43,42.416666666666664,0.0342274775108075,2012.9284108066513,9,0.0
Genie,park_joy,44,82.14583333333333,0.0,3913.7,27,0.0
Genie,park_joy,45,49.520833333333336,0.34693684616598947,2275.7022815984847,22,0.0
Genie,park_joy,46,71.375,0.4614328259856356,3319.713183316993,27,0.0
Genie,park_joy,47,82.85416666666667,0.002608227622408199,3953.6744931927233,20,0.0
Genie,park_joy,48,62.729166666666664,0.12123044408596055,2933.1704405780724,29,0.0
Genie,park_joy,49,55.625,0.046865077131127864,2610.551238374035,26,0.0
BBA,park_joy,0,84.5,0.0,4030.5,26,0.0
BBA,park_joy,1,62.1875,32.14130203037568,-1057.3344933908843,19,0.0
BBA,park_joy,2,60.854166666666664,9.58564814801429,1690.4111111278166,21,0.0
BBA,park_joy,3,57.854166666666664,31.4186234688073,-1149.5442089071512,3,0.0
BBA,park_joy,4,61.520833333333336,40.0167114846438,-2067.3855932835468,16,0.0
BBA,park_joy,5,78.4375,0.0,3729.7,26,0.0
BBA,park_joy,6,66.77083333333333,12.396428714002795,1625.8256964924515,22,0.0
BBA,park_joy,7,82.4375,4.625294994053295,3350.4631847421488,24,0.0
BBA,park_joy,8,57.854166666666664,31.4186234688073,-1149.5442089071512,3,0.0
BBA,park_joy,9,65.1875,14.864677084448886,1215.5882998607792,36,0.0
BBA,park_joy,10,66.77083333333333,12.396428714002795,1625.8256964924515,22,0.0
BBA,park_joy,11,87.10416666666667,5.361637769314015,3490.667606389611,20,0.0
BBA,park_joy,12,78.47916666666667,4.664676335916304,3133.048393277645,33,0.0
BBA,park_joy,13,73.60416666666667,20.48189129574912,930.7599662905099,28,0.0
BBA,park_joy,14,81.70833333333333,0.008178856163047293,3884.6792787508516,33,0.0
BBA,park_joy,15,58.1875,31.39636725536753,-1133.966633469868,5,0.0
BBA,park_joy,16,91.75,0.0,4378.0,37,0.0
BBA,park_joy,17,68.14583333333333,31.322475348290407,-685.1449234666426,28,0.0
BBA,park_joy,18,67.5625,18.00957430574326,947.9051266432407,30,0.0
BBA,park_joy,19,59.1875,3.8591269839966005,2341.080952397224,11,0.0
BBA,park_joy,20,63.354166666666664,13.761014775125204,1281.3253560643743,24,0.0
BBA,park_joy,21,61.520833333333336,40.0167114846438,-2067.3855932835468,16,0.0
BBA,park_joy,22,75.35416666666667,10.280378483841083,2287.308765216633,29,0.0
BBA,park_joy,23,60.1875,98.14988425726717,-9375.205555306942,9,0.0
BBA,park_joy,24,79.5625,5.048876974442038,3154.8001535896337,24,0.0
BBA,park_joy,25,80.47916666666667,15.334617049235622,1922.7397922553944,26,0.0
BBA,park_joy,26,75.35416666666667,10.280378483841083,2287.308765216633,29,0.0
BBA,park_joy,27,79.5625,5.048876974442038,3154.8001535896337,24,0.0
BBA,park_joy,28,84.5,0.0,4030.5,26,0.0
BBA,park_joy,29,62.854166666666664,27.900658759943237,-500.90221324091624,22,0.0
BBA,park_joy,30,62.854166666666664,27.900658759943237,-500.90221324091624,22,0.0
BBA,park_joy,31,82.4375,4.625294994053295,3350.4631847421488,24,0.0
BBA,park_joy,32,78.47916666666667,4.664676335916304,3133.048393277645,33,0.0
BBA,park_joy,33,75.10416666666667,7.743678843523956,2600.6888803282104,26,0.0
BBA,park_joy,34,68.85416666666667,14.288513131365162,1458.693561205628,34,0.0
BBA,park_joy,35,84.5,0.0,4030.5,26,0.0
BBA,park_joy,36,85.10416666666667,0.06859703181764515,4054.239090429158,22,0.0
BBA,park_joy,37,73.60416666666667,20.48189129574912,930.7599662905099,28,0.0
BBA,park_joy,38,81.875,7.613898170583769,2952.285508311146,25,0.0
BBA,park_joy,39,62.145833333333336,45.61087892649595,-2736.7376900266945,17,0.0
BBA,park_joy,40,78.41666666666667,0.0,3733.3,24,0.0
BBA,park_joy,41,72.10416666666667,2.1318955080172497,3164.8394405994472,19,0.0
BBA,park_joy,42,62.145833333333336,45.61087892649595,-2736.7376900266945,17,0.0
BBA,park_joy,43,65.1875,14.864677084448886,1215.5882998607792,36,0.0
BBA,park_joy,44,81.20833333333333,1.8905856856941043,3626.154906425376,33,0.0
BBA,park_joy,45,61.0625,25.39491857007674,-271.38583754557715,20,0.0
BBA,park_joy,46,73.60416666666667,20.48189129574912,930.7599662905099,28,0.0
BBA,park_joy,47,82.10416666666667,0.4917922069315582,3855.4243325749417,20,0.0
BBA,park_joy,48,66.77083333333333,12.396428714002795,1625.8256964924515,22,0.0
BBA,park_joy,49,64.0625,15.684774213304086,1074.84017817965,25,0.0
